id,date,firstTeam,secondTeam,round,group
13,2022-10-22,AUZ,NZ,SUPER_12,Group1
14,2022-10-22,ENG,AFG,SUPER_12,Group1
15,2022-10-23,IRL,SL,SUPER_12,Group1
16,2022-10-23,IND,PAK,SUPER_12,Group2
17,2022-10-24,BAN,NLD,SUPER_12,Group2
18,2022-10-24,SA,ZIM,SUPER_12,Group2
19,2022-10-25,AUZ,SL,SUPER_12,Group1
20,2022-10-26,IRL,ENG,SUPER_12,Group1
21,2022-10-26,NZ,AFG,SUPER_12,Group1
22,2022-10-27,SA,BAN,SUPER_12,Group2
23,2022-10-27,NLD,IND,SUPER_12,Group2
24,2022-10-27,PAK,ZIM,SUPER_12,Group2
25,2022-10-28,AFG,IRL,SUPER_12,Group1
26,2022-10-28,AUZ,ENG,SUPER_12,Group1
27,2022-10-29,NZ,SL,SUPER_12,Group1
28,2022-10-30,BAN,ZIM,SUPER_12,Group2
29,2022-10-30,NLD,PAK,SUPER_12,Group2
30,2022-10-30,IND,SA,SUPER_12,Group2
31,2022-10-31,AUZ,IRL,SUPER_12,Group1
32,2022-11-01,AFG,SL,SUPER_12,Group1
33,2022-11-01,ENG,NZ,SUPER_12,Group1
34,2022-11-02,NLD,ZIM,SUPER_12,Group2
35,2022-11-02,IND,BAN,SUPER_12,Group2
36,2022-11-03,PAK,SA,SUPER_12,Group2
37,2022-11-04,IRL,NZ,SUPER_12,Group1
38,2022-11-04,AUZ,AFG,SUPER_12,Group1
39,2022-11-05,SL,ENG,SUPER_12,Group1
40,2022-11-06,SA,NLD,SUPER_12,Group2
41,2022-11-06,PAK,BAN,SUPER_12,Group2
42,2022-11-06,ZIM,IND,SUPER_12,Group2
43,2022-11-09,TBC,TBC,SEMI_FINAL,-
44,2022-11-10,TBC,TBC,SEMI_FINAL,-
45,2022-11-13,TBC,TBC,FINAL,-